<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Vietnamese>
jp_escort_chikugo_class_0;Mitsui Zōsen Enjiniaringu | Otsu Gata Goeikan | Chikugo Gata Goeikan (E-106) | Tokachi (DE-218);;;;;;;;;;;;;;;;;;;;
jp_escort_chikugo_class_1;DE-218 Tokachi;;;;;;;;;;;;;;;;;;;;
jp_escort_chikugo_class_2;Destroyer escort;;;;;;;;;;;;;;;;;;;;
jp_escort_akebono_class_shop;DE-201 Akebono;;;;;;;;;;;;;;;;;;;;
jp_escort_akebono_class_0;Ishikawajima Jūkōgyō | Otsu Gata Goeikan | Akebono Gata Goeikan (E-102) | Akebono (DE-201);;;;;;;;;;;;;;;;;;;;
jp_escort_akebono_class_1;DE-201 Akebono;;;;;;;;;;;;;;;;;;;;
jp_escort_akebono_class_2;Destroyer escort;;;;;;;;;;;;;;;;;;;;
jp_pg02_shop;PG-822 Misairu Tei 2 Gō;;;;;;;;;;;;;;;;;;;;
jp_pg02_0;1 Gō Gata Misairu Tei | Misairu Tei 2 Gō (PG-822);;;;;;;;;;;;;;;;;;;;
jp_pg02_1;PG-822 Misairu Tei 2 Gō;;;;;;;;;;;;;;;;;;;;
jp_pg02_2;Missile boat;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN COASTAL FLEET - VEHICLE/FAMILY START: RANK 5;;;;;;;;;;;;;;;;;;;;;
jp_escort_hiburi_class_syonan_shop;E-20B Shōnan;;;;;;;;;;;;;;;;;;;;
jp_escort_hiburi_class_syonan_0;Hitachi Zōsen | Kō Gata Kaibōkan | Hiburi Gata Kaibōkan (E-20B) | Shōnan;;;;;;;;;;;;;;;;;;;;
jp_escort_hiburi_class_syonan_1;E-20B Shōnan;;;;;;;;;;;;;;;;;;;;
jp_escort_hiburi_class_syonan_2;Coastal defense ship;;;;;;;;;;;;;;;;;;;;
jp_yuri_class_asagao_shop;Asagao;;;;;;;;;;;;;;;;;;;;
jp_yuri_class_asagao_0;George Lawley & Son | Yuri Gata Keibitei | Asagao;;;;;;;;;;;;;;;;;;;;
jp_yuri_class_asagao_1;Asagao;;;;;;;;;;;;;;;;;;;;
jp_yuri_class_asagao_2;Gunboat;;;;;;;;;;;;;;;;;;;;
jp_destroyer_chidori_shop;F-46 Tomozuru;;;;;;;;;;;;;;;;;;;;
jp_destroyer_chidori_0;Maizuru Kaigun Kōshō | Chidori Gata Suiraitei (F-46) | Tomozuru;;;;;;;;;;;;;;;;;;;;
jp_destroyer_chidori_1;F-46 Tomozuru;;;;;;;;;;;;;;;;;;;;
jp_destroyer_chidori_2;Destroyer escort;;;;;;;;;;;;;;;;;;;;
jp_destroyer_isuzu_shop;DE-211 Isuzu;;;;;;;;;;;;;;;;;;;;
jp_destroyer_isuzu_0;Mitsui Zōsen Enjiniaringu | Otsu Gata Goeikan | Isuzu Gata Goeikan (E-103) | Isuzu (DE-211);;;;;;;;;;;;;;;;;;;;
jp_destroyer_isuzu_1;DE-211 Isuzu;;;;;;;;;;;;;;;;;;;;
jp_destroyer_isuzu_2;Destroyer escort;;;;;;;;;;;;;;;;;;;;
jp_destroyer_ayanami_shop;DD-103 Ayanami;;;;;;;;;;;;;;;;;;;;
jp_destroyer_ayanami_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Kō Gata Goeikan 1 Gata | Ayanami Gata Goeikan (F-102) | Ayanami (DD-103);;;;;;;;;;;;;;;;;;;;
jp_destroyer_ayanami_1;DD-103 Ayanami;;;;;;;;;;;;;;;;;;;;
jp_destroyer_ayanami_2;Destroyer;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN BLUEWATER FLEET VEHICLES - VEHICLE/FAMILY START: RANK 1;;;;;;;;;;;;;;;;;;;;;
jp_destroyer_momi_shop;F-37 Momi;;;;;;;;;;;;;;;;;;;;
jp_destroyer_momi_0;F-37 Yokosuka Kaigun Kōshō | Nitō Kuchikukan | Momi Gata Kuchikukan | Momi (1930);;;;;;;;;;;;;;;;;;;;
jp_destroyer_momi_1;F-37 Momi;;;;;;;;;;;;;;;;;;;;
jp_destroyer_momi_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_matsu_shop;F-55 Matsu;;;;;;;;;;;;;;;;;;;;
jp_destroyer_matsu_0;Maizuru Kaigun Kōshō | Ittō Kuchikukan | Matsu Gata Kuchikukan (F-55) | Matsu;;;;;;;;;;;;;;;;;;;;
jp_destroyer_matsu_1;F-55 Matsu;;;;;;;;;;;;;;;;;;;;
jp_destroyer_matsu_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_mutsuki_shop;F-41E1 Mutsuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_mutsuki_0;Sasebo Kaigun Kōshō | Ittō Kuchikukan | Mutsuki Gata Kuchikukan (F-41E1) | Mutsuki (1941);;;;;;;;;;;;;;;;;;;;
jp_destroyer_mutsuki_1;F-41E1 Mutsuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_mutsuki_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_mutsuki_EC_0;Sasebo Kaigun Kōshō | Ittō Kuchikukan | Mutsuki Gata Kuchikukan (F-41E1) | Mutsuki (1941);;;;;;;;;;;;;;;;;;;;
jp_destroyer_mutsuki_EC_1;F-41E1 Mutsuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_mutsuki_EC_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_satsuki_shop;F-41E1 Satsuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_satsuki_0;Fujinagata Zōsensho | Ittō Kuchikukan | Mutsuki Gata Kuchikukan (F-41E1) | Satsuki (1935);;;;;;;;;;;;;;;;;;;;
jp_destroyer_satsuki_1;F-41E1 Satsuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_satsuki_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_fubuki_shop;F-43 Ayanami;;;;;;;;;;;;;;;;;;;;
jp_destroyer_fubuki_0;Fujinagata Zōsensho | Toku Gata Kuchikukan | Ayanami Gata Kuchikukan (F-43) | Ayanami (1936);;;;;;;;;;;;;;;;;;;;
jp_destroyer_fubuki_1;F-43 Ayanami;;;;;;;;;;;;;;;;;;;;
jp_destroyer_fubuki_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_fubuki_EC_0;Fujinagata Zōsensho | Toku Gata Kuchikukan | Ayanami Gata Kuchikukan (F-43) | Ayanami (1936);;;;;;;;;;;;;;;;;;;;
jp_destroyer_fubuki_EC_1;F-43 Ayanami;;;;;;;;;;;;;;;;;;;;
jp_destroyer_fubuki_EC_2;Destroyer;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN BLUEWATER FLEET VEHICLES - VEHICLE/FAMILY START: RANK 2;;;;;;;;;;;;;;;;;;;;;
jp_destroyer_harukaze_shop;DD-101 Harukaze;;;;;;;;;;;;;;;;;;;;
jp_destroyer_harukaze_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Kō Gata Goeikan | Harukaze Gata Goeikan (F-101) | Harukazec (DD-101);;;;;;;;;;;;;;;;;;;;
jp_destroyer_harukaze_1;DD-101 Harukaze;;;;;;;;;;;;;;;;;;;;
jp_destroyer_harukaze_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_murasame_shop;DD-107 Murasame;;;;;;;;;;;;;;;;;;;;
jp_destroyer_murasame_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Kō Gata Goeikan 2 Gata | Murasame Gata Goeikan (F-103) | Murasame (DD-107) (1975);;;;;;;;;;;;;;;;;;;;
jp_destroyer_murasame_1;DD-107 Murasame;;;;;;;;;;;;;;;;;;;;
jp_destroyer_murasame_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugumo_shop;F-50 Yūgumo;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugumo_0;Maizuru Kaigun Kōshō | Ittō Kuchikukan | Yūgumo Gata Kuchikukan (F-50) | Yūgumo;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugumo_1;F-50 Yūgumo;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugumo_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugumo_EC_0;Maizuru Kaigun Kōshō | Ittō Kuchikukan | Yūgumo Gata Kuchikukan (F-50) | Yūgumo;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugumo_EC_1;F-50 Yūgumo;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugumo_EC_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hayanami_shop;F-50 Hayanami;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hayanami_0;Maizuru Kaigun Kōshō | Ittō Kuchikukan | Yūgumo Gata Kuchikukan (F-50) | Hayanami;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hayanami_1;F-50 Hayanami;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hayanami_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_kiyoshimo_shop;F-50 Kiyoshimo;;;;;;;;;;;;;;;;;;;;
jp_destroyer_kiyoshimo_0;Uraga Senkyo | Ittō Kuchikukan | Yūgumo Gata Kuchikukan (F-50) | Kiyoshimo;;;;;;;;;;;;;;;;;;;;
jp_destroyer_kiyoshimo_1;F-50 Kiyoshimo;;;;;;;;;;;;;;;;;;;;
jp_destroyer_kiyoshimo_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hatsuharu_shop;F-50 Hatsuharu;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hatsuharu_0;Sasebo Kaigun Kōshō | Ittō Kuchikukan | Hatsuharu Gata Kuchikukan (F-50) | Hatsuharu;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hatsuharu_1;F-50 Hatsuharu;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hatsuharu_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_nenohi_shop;F-50 Nenohi;;;;;;;;;;;;;;;;;;;;
jp_destroyer_nenohi_0;Uraga Senkyo | Ittō Kuchikukan | Hatsuharu Gata Kuchikukan (F-50) | Nenohi;;;;;;;;;;;;;;;;;;;;
jp_destroyer_nenohi_1;F-50 Nenohi;;;;;;;;;;;;;;;;;;;;
jp_destroyer_nenohi_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugure_shop;DD-184 Yūgure;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugure_0;Boston Navy Yard / Ishikawajima Jūkōgyō | Kō Gata Goeikan | Airake Gata Goeikan | Yūgure (DD-184);;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugure_1;DD-184 Yūgure;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yugure_2;Destroyer;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN BLUEWATER FLEET VEHICLES - VEHICLE/FAMILY START: RANK 3;;;;;;;;;;;;;;;;;;;;;
jp_destroyer_akizuki_shop;F-51 Akizuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_akizuki_0;Maizuru Kaigun Kōshō | Ittō Kuchikukan | Akizuki Gata Kuchikukan (F-51) | Akizuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_akizuki_1;F-51 Akizuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_akizuki_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_akizuki_EC_0;Maizuru Kaigun Kōshō | Ittō Kuchikukan | Akizuki Gata Kuchikukan (F-51) | Akizuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_akizuki_EC_1;F-51 Akizuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_akizuki_EC_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hatsuzuki_shop;◓ F-51 Hatsuzuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hatsuzuki_0;◓ Maizuru Kaigun Kōshō | Ittō Kuchikukan | Akizuki Gata Kuchikukan (F-51) | Hatsuzuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hatsuzuki_1;◓ F-51 Hatsuzuki;;;;;;;;;;;;;;;;;;;;
jp_destroyer_hatsuzuki_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kako_shop;Kako;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kako_0;Kawasaki Zōsensho | Ittō Junyōkan | Furutaka Gata Junyōkan | Kako (1932);;;;;;;;;;;;;;;;;;;;
jp_cruiser_kako_1;Kako;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kako_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kako_EC_0;Kawasaki Zōsensho | Ittō Junyōkan | Furutaka Gata Junyōkan | Kako (1932);;;;;;;;;;;;;;;;;;;;
jp_cruiser_kako_EC_1;Kako;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kako_EC_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_furutaka_shop;Furutaka;;;;;;;;;;;;;;;;;;;;
jp_cruiser_furutaka_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Ittō Junyōkan | Furutaka Gata Junyōkan | Furutaka (1942);;;;;;;;;;;;;;;;;;;;
jp_cruiser_furutaka_1;Furutaka;;;;;;;;;;;;;;;;;;;;
jp_cruiser_furutaka_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_furutaka_EC_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Ittō Junyōkan | Furutaka Gata Junyōkan | Furutaka (1942);;;;;;;;;;;;;;;;;;;;
jp_cruiser_furutaka_EC_1;Furutaka;;;;;;;;;;;;;;;;;;;;
jp_cruiser_furutaka_EC_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_isuzu_shop;C-33 Isuzu;;;;;;;;;;;;;;;;;;;;
jp_cruiser_isuzu_0;Uraga Senkyo / Kure Kaigun Kōshō | Nitō Junyōkan | Nagara Gata Junyōka (C-33) | Isuzu (1944);;;;;;;;;;;;;;;;;;;;
jp_cruiser_isuzu_1;C-33 Isuzu;;;;;;;;;;;;;;;;;;;;
jp_cruiser_isuzu_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kuma_shop;C-33 Tama;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kuma_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Nitō Junyōkan | Kuma Gata Junyōkan (C-33) | Tama (1939);;;;;;;;;;;;;;;;;;;;
jp_cruiser_kuma_1;C-33 Tama;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kuma_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kuma_EC_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Nitō Junyōkan | Kuma Gata Junyōkan (C-33) | Tama (1939);;;;;;;;;;;;;;;;;;;;
jp_cruiser_kuma_EC_1;C-33 Tama;;;;;;;;;;;;;;;;;;;;
jp_cruiser_kuma_EC_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_sendai_shop;C-33 Sendai;;;;;;;;;;;;;;;;;;;;
jp_cruiser_sendai_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Nitō Junyōkan | Sendai Gata Junyōkan (C-33) | Sendai (1942);;;;;;;;;;;;;;;;;;;;
jp_cruiser_sendai_1;C-33 Sendai;;;;;;;;;;;;;;;;;;;;
jp_cruiser_sendai_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yukikaze_shop;F-49 Yukikaze;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yukikaze_0;Sasebo Kaigun Kōshō / Kure Kaigun Kōshō | Ittō Kuchikukan | Kagerō Gata Kuchikukan (F-49) | Yukikaze (1943);;;;;;;;;;;;;;;;;;;;
jp_destroyer_yukikaze_1;F-49 Yukikaze;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yukikaze_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_cruiser_yubari_shop;F-42 Yūbari;;;;;;;;;;;;;;;;;;;;
jp_cruiser_yubari_0;Sasebo Kaigun Kōshō / Yokosuka Kaigun Kōshō | Nitō Junyōkan | Yūbari Gata Junyōkan (F-42) | Yūbari (1944);;;;;;;;;;;;;;;;;;;;
jp_cruiser_yubari_1;F-42 Yūbari;;;;;;;;;;;;;;;;;;;;
jp_cruiser_yubari_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_destroyer_shimakaze_shop;F-52 Shimakaze;;;;;;;;;;;;;;;;;;;;
jp_destroyer_shimakaze_0;Maizuru Kaigun Kōshō | Ittō Kuchikukan | Shimakaze Gata Kuchikukan (F-52) | Shimakaze (1944);;;;;;;;;;;;;;;;;;;;
jp_destroyer_shimakaze_1;F-52 Shimakaze;;;;;;;;;;;;;;;;;;;;
jp_destroyer_shimakaze_2;Destroyer;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yuudachi_shop;F-45D Yūdachi;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yuudachi_0;Sasebo Kaigun Kōshō | Ittō Kuchikukan | Shiratsuyu Gata Kuchikukan (F-45D) | Yūdachi;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yuudachi_1;F-45D Yūdachi;;;;;;;;;;;;;;;;;;;;
jp_destroyer_yuudachi_2;Destroyer;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN BLUEWATER FLEET VEHICLES - VEHICLE/FAMILY START: RANK 4;;;;;;;;;;;;;;;;;;;;;
jp_cruiser_aoba_shop;C-41 Aoba;;;;;;;;;;;;;;;;;;;;
jp_cruiser_aoba_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Ittō Junyōkan | Aoba Gata Junyōkan (C-41) | Aoba (1944);;;;;;;;;;;;;;;;;;;;
jp_cruiser_aoba_1;C-41 Aoba;;;;;;;;;;;;;;;;;;;;
jp_cruiser_aoba_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_haguro_shop;C-42 Haguro;;;;;;;;;;;;;;;;;;;;
jp_cruiser_haguro_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo / Kure Kaigun Kōshō | Ittō Junyōkan | Myōkō Gata Junyōkan (C-42) | Haguro (1944);;;;;;;;;;;;;;;;;;;;
jp_cruiser_haguro_1;C-42 Haguro;;;;;;;;;;;;;;;;;;;;
jp_cruiser_haguro_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_myoko_shop;C-42 Myōkō;;;;;;;;;;;;;;;;;;;;
jp_cruiser_myoko_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo / Kure Kaigun Kōshō | Ittō Junyōkan | Myōkō Gata Junyōkan (C-42) | Myōkō (1944);;;;;;;;;;;;;;;;;;;;
jp_cruiser_myoko_1;C-42 Myōkō;;;;;;;;;;;;;;;;;;;;
jp_cruiser_myoko_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_agano_shop;C-41-II Agano;;;;;;;;;;;;;;;;;;;;
jp_cruiser_agano_0;Sasebo Kaigun Kōshō | Nitō Junyōkan | Agano Gata Junyōkan (C-41-II) | Agano (1943);;;;;;;;;;;;;;;;;;;;
jp_cruiser_agano_1;C-41-II Agano;;;;;;;;;;;;;;;;;;;;
jp_cruiser_agano_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_agano_EC_0;Sasebo Kaigun Kōshō | Nitō Junyōkan | Agano Gata Junyōkan (C-41-II) | Agano (1943);;;;;;;;;;;;;;;;;;;;
jp_cruiser_agano_EC_1;C-41-II Agano;;;;;;;;;;;;;;;;;;;;
jp_cruiser_agano_EC_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_armoredcruiser_ikoma_shop;B-12 Ikoma;;;;;;;;;;;;;;;;;;;;
jp_armoredcruiser_ikoma_0;Kure Kaigun Kōshō | Ittō Junyōkan | Tsukuba Gata Junyōkan (B-12) | Ikoma (1912);;;;;;;;;;;;;;;;;;;;
jp_armoredcruiser_ikoma_1;B-12 Ikoma;;;;;;;;;;;;;;;;;;;;
jp_armoredcruiser_ikoma_2;Battlecruiser;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN BLUEWATER FLEET VEHICLES - VEHICLE/FAMILY START: RANK 5;;;;;;;;;;;;;;;;;;;;;
jp_cruiser_tone_shop;C-38 Tone;;;;;;;;;;;;;;;;;;;;
jp_cruiser_tone_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Ittō Junyōkan | Tone Gata Junyōkan (C-38) | Tone (1945);;;;;;;;;;;;;;;;;;;;
jp_cruiser_tone_1;C-38 Tone;;;;;;;;;;;;;;;;;;;;
jp_cruiser_tone_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_battleship_settsu_shop;A-30 Settsu;;;;;;;;;;;;;;;;;;;;
jp_battleship_settsu_0;Kure Kaigun Kōshō | Kawachi Gata Senkan (A-30) | Settsu;;;;;;;;;;;;;;;;;;;;
jp_battleship_settsu_1;A-30 Settsu;;;;;;;;;;;;;;;;;;;;
jp_battleship_settsu_2;Battleship;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_suzuya_shop;C-37 Suzuya;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_suzuya_0;Yokosuka Kaigun Kōshō | Nitō Junyōkan | Mogami Gata Junyōkan (C-37) | Suzuya;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_suzuya_1;C-37 Suzuya;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_suzuya_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_shop;C-37 Mogami;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_0;Kure Kaigun Kōshō | Nitō Junyōkan | Mogami Gata Junyōkan (C-37) | Mogami;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_1;C-37 Mogami;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_2;Heavy cruiser;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_mikuma_shop;C-37 Mikuma;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_mikuma_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Nitō Junyōkan | Mogami Gata Junyōkan (C-37) | Mikuma;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_mikuma_1;C-37 Mikuma;;;;;;;;;;;;;;;;;;;;
jp_cruiser_mogami_mikuma_2;Light cruiser;;;;;;;;;;;;;;;;;;;;
jp_battleship_yamashiro_shop;A-64 Yamashiro;;;;;;;;;;;;;;;;;;;;
jp_battleship_yamashiro_0;Yokosuka Kaigun Kōshō | Fusō Gata Senkan (A-64) | Yamashiro;;;;;;;;;;;;;;;;;;;;
jp_battleship_yamashiro_1;A-64 Yamashiro;;;;;;;;;;;;;;;;;;;;
jp_battleship_yamashiro_2;Battleship;;;;;;;;;;;;;;;;;;;;
jp_battleship_fuso_shop;A-64 Fusō;;;;;;;;;;;;;;;;;;;;
jp_battleship_fuso_0;Kure Kaigun Kōshō | Fusō Gata Senkan (A-64) | Fusō;;;;;;;;;;;;;;;;;;;;
jp_battleship_fuso_1;A-64 Fusō;;;;;;;;;;;;;;;;;;;;
jp_battleship_fuso_2;Battleship;;;;;;;;;;;;;;;;;;;;
jp_armoredcruiser_kurama_shop;B-17 Kurama;;;;;;;;;;;;;;;;;;;;
jp_armoredcruiser_kurama_0;Yokosuka Kaigun Kōshō | Ittō Junyōkan | Kurama Gata Junyōkan (B-17) | Kurama (1919);;;;;;;;;;;;;;;;;;;;
jp_armoredcruiser_kurama_1;B-17 Kurama;;;;;;;;;;;;;;;;;;;;
jp_armoredcruiser_kurama_2;Battlecruiser;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_haruna_shop;B-46 Haruna;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_haruna_0;Kawasaki Zōsensho | Kongō Gata Senkan (B-46) | Haruna (1945);;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_haruna_1;B-46 Haruna;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_haruna_2;Battleship;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_kirishima_shop;B-46 Kirishima;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_kirishima_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo / Sasebo Kaigun Kōshō | Kongō Gata Senkan (B-46) | Kirishima (1942);;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_kirishima_1;B-46 Kirishima;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_kirishima_2;Battleship;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_kongo_shop;B-46 Kongō;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_kongo_0;Vickers-Armstrongs / Sasebo Kaigun Kōshō | Kongō Gata Senkan (B-46) | Kongō (1944);;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_kongo_1;B-46 Kongō;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_kongo_2;Battleship;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN BLUEWATER FLEET VEHICLES - VEHICLE/FAMILY START: RANK 6;;;;;;;;;;;;;;;;;;;;;
jp_battleship_hyuga_shop;A-92 Hyūga;;;;;;;;;;;;;;;;;;;;
jp_battleship_hyuga_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Ise Gata Senkan (A-92) | Hyūga;;;;;;;;;;;;;;;;;;;;
jp_battleship_hyuga_1;A-92 Hyūga;;;;;;;;;;;;;;;;;;;;
jp_battleship_hyuga_2;Battleship;;;;;;;;;;;;;;;;;;;;
jp_battleship_ise_shop;A-92 Ise;;;;;;;;;;;;;;;;;;;;
jp_battleship_ise_0;Kawasaki Zōsensho | Ise Gata Senkan (A-92) | Ise (1937);;;;;;;;;;;;;;;;;;;;
jp_battleship_ise_1;A-92 Ise;;;;;;;;;;;;;;;;;;;;
jp_battleship_ise_2;Battleship;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_amagi_shop;B-64 Amagi;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_amagi_0;Yokosuka Kaigun Kōshō | Amagi Gata Junyōsenkan (B-64) | Amagi;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_amagi_1;B-64 Amagi;;;;;;;;;;;;;;;;;;;;
jp_battlecruiser_amagi_2;Battlecruiser;;;;;;;;;;;;;;;;;;;;
jp_battleship_mutsu_shop;A-114 Mutsu;;;;;;;;;;;;;;;;;;;;
jp_battleship_mutsu_0;Yokosuka Kaigun Kōshō | Nagato Gata Senkan (A-114) | Mutsu (1922);;;;;;;;;;;;;;;;;;;;
jp_battleship_mutsu_1;A-114 Mutsu;;;;;;;;;;;;;;;;;;;;
jp_battleship_mutsu_2;Battleship;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//BLUEWATER FLEET VEHICLES - VEHICLE/FAMILY START: RANK 7;;;;;;;;;;;;;;;;;;;;;
